epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.873,1.48788,1.66719,1.43173,0.71611,0.80547,0.79597,0.52614,1.15474,0.86121,1.11628,0.0700739,0.00332512,0.00332512
2,573.127,1.21582,1.09124,1.21246,0.74855,0.81308,0.82797,0.56967,1.03674,0.812,1.08943,0.0400607,0.00664527,0.00664527
3,856.397,1.17081,1.01473,1.18329,0.68931,0.7369,0.76392,0.49834,1.14067,0.97723,1.16432,0.0100343,0.00995222,0.00995222
4,1141.69,1.16555,0.99982,1.17917,0.76193,0.79683,0.83914,0.58188,1.04565,0.83468,1.09846,0.0099406,0.0099406,0.0099406
5,1427.02,1.12612,0.94944,1.16193,0.74952,0.81471,0.82452,0.57389,1.0128,0.8636,1.06744,0.0099208,0.0099208,0.0099208
6,1711.13,1.09099,0.91157,1.14696,0.7587,0.79648,0.84173,0.58032,1.0457,0.86626,1.08971,0.009901,0.009901,0.009901
7,1996.03,1.07135,0.89029,1.13687,0.73443,0.8264,0.8413,0.59847,0.95191,0.84674,1.0477,0.0098812,0.0098812,0.0098812
8,2279.31,1.04835,0.86249,1.12397,0.81165,0.81875,0.88075,0.62358,0.97934,0.74447,1.05612,0.0098614,0.0098614,0.0098614
9,2558.05,1.03653,0.84668,1.11907,0.77683,0.79838,0.8335,0.58438,1.01568,0.84689,1.07267,0.0098416,0.0098416,0.0098416
10,2841.96,1.02087,0.83386,1.11193,0.74727,0.79847,0.82909,0.57642,0.98483,0.8427,1.08608,0.0098218,0.0098218,0.0098218
11,3128.85,1.00297,0.81365,1.1025,0.82759,0.81641,0.87423,0.63362,0.9257,0.72805,1.04353,0.009802,0.009802,0.009802
12,3414.37,0.99052,0.79606,1.09792,0.82031,0.83141,0.88327,0.63869,0.91852,0.70469,1.02651,0.0097822,0.0097822,0.0097822
13,3698.6,0.98244,0.78758,1.09376,0.81084,0.82291,0.87287,0.63901,0.91606,0.71842,1.04171,0.0097624,0.0097624,0.0097624
14,3983.15,0.97016,0.77417,1.08582,0.79738,0.82236,0.86356,0.63577,0.88251,0.72906,1.01479,0.0097426,0.0097426,0.0097426
